Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
1.65,0.025,0.13000708,0.0012138618718783494,5.3736254e-05,0.129953343746,0.0012138625437037342
1.7,0.025,0.13182449999999998,0.001231154130616203,5.4323176e-05,0.131770176824,0.0012311547860603333
1.75,0.025,0.13354916,0.0012461731502662256,5.5006158e-05,0.133494153842,0.001246173709954896
1.8,0.025,0.13518943,0.0012584992147174506,5.5413384e-05,0.135134016616,0.0012584996551784598
1.85,0.025,0.13674958,0.0012709277536945688,5.5961050000000005e-05,0.13669361895,0.0012709283598088367
1.9,0.025,0.13824107,0.0012867801038509547,5.6776906000000005e-05,0.138184293094,0.001286781647793156
1.95,0.025,0.13967268000000002,0.001295618681728715,5.771484e-05,0.13961496516000002,0.0012956201106349553
2.0,0.025,0.14104585999999997,0.0013052104378647592,5.8783983999999994e-05,0.14098707601599997,0.0013052112550484296
2.05,0.025,0.14236231,0.0013166185750288913,5.9344184e-05,0.142302965816,0.001316619334956867
2.1,0.025,0.14363847999999999,0.0013264187094914183,5.9815089999999995e-05,0.14357866491,0.0013264192989834304
2.15,0.025,0.14486820000000003,0.001332042998972294,6.0173506000000006e-05,0.14480802649400004,0.0013320436519310796
2.2,0.025,0.14605562,0.0013357810422703596,6.1212238e-05,0.14599440776199998,0.0013357815216077367
2.25,0.025,0.14720298000000004,0.0013416165885478124,6.2496082e-05,0.14714048391800003,0.0013416169844201202
2.3,0.025,0.1483101,0.0013477482620199424,6.316612799999999e-05,0.148246933872,0.0013477488765520581
2.35,0.025,0.14939483999999997,0.001355919380756507,6.3770932e-05,0.14933106906799998,0.0013559202830523546
2.4,0.025,0.15044304,0.0013573862589550537,6.451274e-05,0.15037852726,0.0013573874657284602
2.45,0.025,0.15146335000000002,0.0013616242973824389,6.5491358e-05,0.15139785864200003,0.0013616251700376762
2.5,0.025,0.15245276,0.0013669230598521462,6.6104282e-05,0.152386655718,0.001366924077495283
2.55,0.025,0.15341902999999998,0.001373187587776052,6.6876766e-05,0.15335215323399998,0.001373188613517728
2.6,0.025,0.1543615,0.0013736984037424056,6.784461800000001e-05,0.15429365538200002,0.0013736990828742668
2.65,0.025,0.15528192000000002,0.0013761386855174822,6.8788952e-05,0.15521313104800002,0.0013761393178027157
2.7,0.025,0.15617455,0.0013813464994948464,6.9867372e-05,0.156104682628,0.0013813471793298329
